"eventname","userid","timecreated"
"\mod_workshop\event\submission_viewed","1001","1718500712"
"\core\event\course_viewed","1001","1718501030"
"\core\event\course_viewed","1001","1718501378"
"\core\event\course_viewed","1001","1718501382"
"\mod_workshop\event\course_module_viewed","1001","1718501390"
"\core\event\course_viewed","1001","1718501402"
"\mod_resource\event\course_module_viewed","1001","1718501445"
"\core\event\course_viewed","1001","1718501470"
"\mod_forum\event\course_module_viewed","1001","1718501475"
"\core\event\course_viewed","1001","1718510452"
"\mod_workshop\event\course_module_viewed","1001","1718510465"
"\core\event\course_viewed","1001","1718510478"
"\mod_workshop\event\course_module_viewed","1001","1718510485"
"\mod_workshop\event\submission_updated","1001","1718510490"
"\mod_workshop\event\assessable_uploaded","1001","1718510492"
"\core\event\course_viewed","1001","1718517455"
"\mod_workshop\event\course_module_viewed","1001","1718517465"
"\mod_workshop\event\course_module_viewed","1001","1718517528"
"\mod_workshop\event\submission_reassessed","1001","1718517535"
"\mod_workshop\event\course_module_viewed","1001","1718517538"
"\core\event\course_viewed","1001","1718691325"
"\core\event\course_viewed","1001","1718691438"
"\mod_resource\event\course_module_viewed","1001","1718691440"
"\mod_resource\event\course_module_viewed","1001","1718691452"
"\core\event\course_viewed","1001","1718691458"
"\core\event\course_viewed","1001","1718691462"
"\core\event\course_viewed","1001","1718691475"
"\core\event\course_viewed","1001","1718691480"
"\mod_resource\event\course_module_viewed","1001","1718691490"
"\core\event\course_viewed","1001","1718693568"
"\core\event\course_viewed","1001","1718759772"
"\mod_forum\event\course_module_viewed","1001","1718759775"
"\mod_forum\event\discussion_viewed","1001","1718759780"
"\core\event\course_viewed","1001","1718759840"
"\mod_resource\event\course_module_viewed","1001","1718760128"
"\core\event\course_viewed","1001","1718760188"
"\core\event\course_viewed","1001","1718760190"
"\mod_resource\event\course_module_viewed","1001","1718760192"
"\mod_workshop\event\submission_created","1001","1718770292"
"\mod_workshop\event\submission_updated","1001","1718770298"
"\mod_workshop\event\submission_created","1001","1718770300"
"\core\event\course_viewed","1001","1718783258"
"\mod_resource\event\course_module_viewed","1001","1718783268"
"\mod_resource\event\course_module_viewed","1001","1718783272"
"\core\event\course_viewed","1001","1718800595"
"\gradereport_user\event\grade_report_viewed","1001","1718800598"
"\mod_workshop\event\course_module_viewed","1001","1718800610"
"\core\event\course_viewed","1001","1718800640"
"\core\event\course_viewed","1001","1718800678"
"\mod_workshop\event\course_module_viewed","1001","1718801022"
"\core\event\user_profile_viewed","1001","1718801032"
"\core\event\course_viewed","1001","1719040070"
"\core\event\course_viewed","1001","1719040078"
"\mod_resource\event\course_module_viewed","1001","1719040085"
"\core\event\course_viewed","1001","1720161675"
"\core\event\course_viewed","1001","1720161685"
"\core\event\course_viewed","1001","1720167782"
"\core\event\course_viewed","1001","1720167788"
"\core\event\course_viewed","1001","1720167790"
"\mod_resource\event\course_module_viewed","1001","1720169725"
"\core\event\course_viewed","1001","1720177590"
"\mod_resource\event\course_module_viewed","1001","1720182612"
"\core\event\course_viewed","1001","1720182625"
"\core\event\course_viewed","1001","1720182750"
"\mod_workshop\event\course_module_viewed","1001","1720182762"
"\mod_workshop\event\submission_viewed","1001","1720182778"
"\mod_workshop\event\submission_updated","1001","1720182788"
"\mod_workshop\event\submission_created","1001","1720182790"
"\mod_workshop\event\assessable_uploaded","1001","1720182792"
"\core\event\course_viewed","1001","1720182818"
"\mod_workshop\event\course_module_viewed","1001","1720182825"
"\core\event\course_viewed","1001","1720183162"
"\core\event\course_viewed","1001","1720183170"
"\core\event\course_viewed","1001","1720183192"
"\mod_forum\event\course_module_viewed","1001","1720183198"
"\core\event\course_viewed","1001","1720183218"
"\core\event\course_viewed","1001","1720183238"
"\core\event\course_viewed","1001","1720183242"
"\core\event\course_viewed","1001","1720183262"
"\core\event\course_viewed","1001","1720183268"
"\mod_resource\event\course_module_viewed","1001","1720183278"
"\mod_resource\event\course_module_viewed","1001","1720183280"
"\core\event\course_viewed","1001","1720187435"
"\core\event\course_viewed","1001","1720187692"
"\mod_resource\event\course_module_viewed","1001","1720187750"
"\core\event\course_viewed","1001","1720191202"
"\core\event\course_viewed","1001","1720959095"
"\core\event\course_viewed","1001","1720959102"
"\core\event\course_viewed","1001","1720959110"
"\core\event\course_viewed","1001","1720959115"
"\core\event\course_viewed","1001","1720959122"
"\core\event\course_viewed","1001","1720959142"
"\core\event\course_viewed","1001","1720959168"
"\core\event\course_viewed","1001","1720959170"
"\core\event\course_viewed","1001","1720959180"
"\core\event\course_viewed","1001","1720959185"
"\gradereport_user\event\grade_report_viewed","1001","1720959210"
"\core\event\course_viewed","1001","1721318838"
"\mod_resource\event\course_module_viewed","1001","1721318850"
"\mod_resource\event\course_module_viewed","1001","1721318852"
"\core\event\course_viewed","1001","1721320220"
"\core\event\course_viewed","1001","1721320228"
"\core\event\course_viewed","1001","1721323322"
"\mod_workshop\event\course_module_viewed","1001","1721323328"
"\core\event\course_viewed","1001","1721323360"
"\core\event\course_viewed","1001","1721323362"
"\mod_workshop\event\course_module_viewed","1001","1721323375"
"\mod_workshop\event\submission_assessed","1001","1721323378"
"\mod_workshop\event\submission_assessed","1001","1721324372"
"\mod_workshop\event\course_module_viewed","1001","1721324388"
"\core\event\course_viewed","1001","1721324395"
"\core\event\course_viewed","1001","1721324398"
"\gradereport_user\event\grade_report_viewed","1001","1721324402"
"\core\event\course_viewed","1001","1721324422"
"\core\event\course_viewed","1001","1721324435"
"\core\event\course_viewed","1001","1721324440"
"\mod_workshop\event\course_module_viewed","1001","1721324448"
"\core\event\course_viewed","1001","1721324482"
"\core\event\course_viewed","1001","1721324488"
"\core\event\course_viewed","1001","1721324515"
"\mod_url\event\course_module_viewed","1001","1721324522"
"\core\event\course_viewed","1001","1721324675"
"\core\event\course_viewed","1001","1721324680"
"\core\event\course_viewed","1001","1721324728"
"\core\event\course_viewed","1001","1721324732"
"\mod_mail\event\course_module_viewed","1001","1721324765"
"\mod_mail\event\course_module_viewed","1001","1721324772"
"\mod_mail\event\course_module_viewed","1001","1721324778"
"\core\event\course_viewed","1001","1721324832"
"\core\event\course_viewed","1001","1721324835"
"\core\event\course_viewed","1001","1721324852"
"\mod_workshop\event\course_module_viewed","1001","1721324878"
"\core\event\course_viewed","1001","1721324885"
"\mod_url\event\course_module_viewed","1001","1721324895"
"\mod_resource\event\course_module_viewed","1001","1721324908"
"\core\event\course_viewed","1001","1721324925"
"\core\event\course_viewed","1001","1721324948"
"\core\event\course_viewed","1001","1721324960"
"\mod_resource\event\course_module_viewed","1001","1721324968"
"\mod_url\event\course_module_viewed","1001","1721325100"
"\core\event\course_viewed","1001","1721329378"
"\core\event\course_viewed","1001","1721329380"
"\core\event\course_viewed","1001","1721329388"
"\core\event\course_viewed","1001","1721329438"
"\core\event\course_viewed","1001","1721329440"
"\mod_resource\event\course_module_viewed","1001","1721329442"
"\core\event\course_viewed","1001","1721329450"
"\mod_resource\event\course_module_viewed","1001","1721329492"
"\core\event\course_viewed","1001","1721329500"
"\core\event\course_viewed","1001","1721329582"
"\mod_workshop\event\course_module_viewed","1001","1721329612"
"\core\event\course_viewed","1001","1721329625"
"\core\event\course_viewed","1001","1721558395"
"\core\event\course_viewed","1001","1721558402"
"\mod_resource\event\course_module_viewed","1001","1721558448"
"\mod_workshop\event\course_module_viewed","1001","1721558452"
"\mod_workshop\event\assessable_uploaded","1001","1721561510"
"\mod_workshop\event\submission_viewed","1001","1721561512"
"\mod_workshop\event\assessable_uploaded","1001","1721561522"
"\mod_workshop\event\submission_updated","1001","1721561525"
"\core\event\course_viewed","1001","1721636568"
"\core\event\course_viewed","1001","1721641865"
"\core\event\course_viewed","1001","1721641868"
"\core\event\course_viewed","1001","1721641878"
"\core\event\course_viewed","1001","1721641885"
"\core\event\course_viewed","1001","1721641888"
"\core\event\course_viewed","1001","1722250878"
"\mod_workshop\event\course_module_viewed","1001","1722250882"
"\core\event\course_viewed","1001","1722250892"
"\mod_resource\event\course_module_viewed","1001","1722250900"
"\core\event\course_viewed","1001","1722251420"
"\mod_mail\event\course_module_viewed","1001","1722251425"
"\core\event\course_viewed","1001","1722251712"
"\core\event\course_viewed","1001","1722251725"
"\core\event\course_viewed","1001","1722251730"
"\mod_workshop\event\course_module_viewed","1001","1722251760"
"\core\event\course_viewed","1001","1722251850"
"\mod_workshop\event\course_module_viewed","1001","1722253500"
"\mod_workshop\event\submission_viewed","1001","1722257532"
"\core\event\course_viewed","1001","1722257548"
"\core\event\course_viewed","1001","1722257552"
"\core\event\course_viewed","1001","1722257572"
"\core\event\course_viewed","1001","1722257575"
"\core\event\course_viewed","1001","1722257582"
"\core\event\course_viewed","1001","1722257712"
"\core\event\course_viewed","1001","1722257730"
"\mod_resource\event\course_module_viewed","1001","1722257738"
"\core\event\course_viewed","1001","1722265792"
"\core\event\course_viewed","1001","1722265795"
"\core\event\course_viewed","1001","1722265820"
"\core\event\course_viewed","1001","1722265822"
"\mod_resource\event\course_module_viewed","1001","1722266118"
"\mod_resource\event\course_module_viewed","1001","1722266122"
"\core\event\course_viewed","1001","1722266128"
"\core\event\course_viewed","1001","1722266158"
"\core\event\course_viewed","1001","1722266175"
"\core\event\course_viewed","1001","1722266242"
"\mod_workshop\event\course_module_viewed","1001","1722266252"
"\core\event\course_viewed","1001","1722266432"
"\mod_resource\event\course_module_viewed","1001","1722266550"
"\mod_resource\event\course_module_viewed","1001","1722266585"
"\mod_resource\event\course_module_viewed","1001","1722266588"
"\core\event\course_viewed","1001","1722373430"
"\mod_mail\event\course_module_viewed","1001","1722373432"
"\mod_mail\event\course_module_viewed","1001","1722373445"
"\core\event\course_viewed","1001","1722381425"
"\mod_resource\event\course_module_viewed","1001","1722381432"
"\core\event\course_viewed","1001","1722386170"
"\core\event\course_viewed","1001","1722386175"
"\mod_resource\event\course_module_viewed","1001","1722386192"
"\core\event\course_viewed","1001","1722386220"
"\mod_workshop\event\course_module_viewed","1001","1722386222"
"\core\event\course_viewed","1001","1723448412"
"\mod_resource\event\course_module_viewed","1001","1723448415"
"\core\event\course_viewed","1001","1723448465"
"\mod_resource\event\course_module_viewed","1001","1723448488"
"\core\event\course_viewed","1001","1723449560"
"\mod_resource\event\course_module_viewed","1001","1723449605"
"\mod_workshop\event\course_module_viewed","1001","1723458565"
"\core\event\course_viewed","1001","1723458568"
"\core\event\course_viewed","1001","1723538760"
"\core\event\course_viewed","1001","1723538765"
"\core\event\course_viewed","1001","1723538780"
"\mod_resource\event\course_module_viewed","1001","1723538790"
"\mod_resource\event\course_module_viewed","1001","1723543662"
"\mod_resource\event\course_module_viewed","1001","1723543670"
"\mod_workshop\event\course_module_viewed","1001","1723545178"
"\mod_resource\event\course_module_viewed","1001","1723545185"
"\mod_url\event\course_module_viewed","1001","1723545188"
"\core\event\course_viewed","1001","1723545720"
"\core\event\course_viewed","1001","1723545725"
"\core\event\course_viewed","1001","1723545738"
"\core\event\course_viewed","1001","1723545750"
"\mod_workshop\event\course_module_viewed","1001","1723545758"
"\mod_workshop\event\submission_viewed","1001","1723545818"
"\mod_workshop\event\assessable_uploaded","1001","1723545820"
"\mod_workshop\event\submission_viewed","1001","1723545822"
"\mod_workshop\event\assessable_uploaded","1001","1723545830"
"\mod_workshop\event\submission_updated","1001","1723545832"
"\mod_workshop\event\submission_created","1001","1723545875"
"\core\event\course_viewed","1001","1723545888"
"\mod_workshop\event\course_module_viewed","1001","1723545912"
"\core\event\course_viewed","1001","1723545922"
"\core\event\course_viewed","1001","1723634792"
"\core\event\course_viewed","1001","1723637912"
"\core\event\course_viewed","1001","1723637920"
"\core\event\course_viewed","1001","1723637925"
"\core\event\course_viewed","1001","1723637935"
"\core\event\course_viewed","1001","1723637940"
"\core\event\course_viewed","1001","1723638035"
"\mod_resource\event\course_module_viewed","1001","1723638042"
"\mod_workshop\event\submission_assessed","1001","1723638222"
"\mod_workshop\event\course_module_viewed","1001","1723638225"
"\mod_workshop\event\submission_updated","1001","1723638228"
"\mod_workshop\event\assessable_uploaded","1001","1723638230"
"\mod_workshop\event\submission_created","1001","1723638245"
"\core\event\course_viewed","1001","1723638278"
"\mod_url\event\course_module_viewed","1001","1723638292"
"\core\event\course_viewed","1001","1723640275"
"\core\event\course_viewed","1001","1723640355"
"\core\event\course_viewed","1001","1723640362"
"\mod_workshop\event\course_module_viewed","1001","1723640368"
"\mod_workshop\event\submission_assessed","1001","1723640442"
"\core\event\course_viewed","1001","1723936315"
"\mod_resource\event\course_module_viewed","1001","1723936322"
"\core\event\course_viewed","1001","1723936810"
"\mod_resource\event\course_module_viewed","1001","1723936822"
"\core\event\course_viewed","1001","1723940238"
"\mod_quiz\event\course_module_viewed","1001","1723940240"
"\mod_quiz\event\attempt_started","1001","1723940248"
"\mod_quiz\event\attempt_updated","1001","1723940298"
"\mod_quiz\event\attempt_summary_viewed","1001","1723940305"
"\core\event\user_graded","1001","1723940325"
"\mod_quiz\event\attempt_submitted","1001","1723940328"
"\core\event\user_graded","1001","1723940330"
"\core\event\course_viewed","1001","1723998682"
"\core\event\course_viewed","1001","1724003345"
"\mod_workshop\event\course_module_viewed","1001","1724003350"
"\mod_workshop\event\course_module_viewed","1001","1724003410"
"\mod_forum\event\discussion_viewed","1001","1724003472"
"\mod_forum\event\discussion_viewed","1001","1724004050"
"\core\event\course_viewed","1001","1724004060"
"\core\event\course_viewed","1001","1724004080"
"\mod_workshop\event\course_module_viewed","1001","1724004085"
"\core\event\course_viewed","1001","1724004098"
"\core\event\course_viewed","1001","1724004102"
"\mod_quiz\event\attempt_updated","1001","1724004165"
"\mod_quiz\event\attempt_updated","1001","1724004438"
"\mod_quiz\event\attempt_viewed","1001","1724004498"
"\mod_quiz\event\attempt_updated","1001","1724004500"
"\mod_quiz\event\attempt_viewed","1001","1724004502"
"\mod_quiz\event\attempt_viewed","1001","1724004552"
"\mod_quiz\event\attempt_viewed","1001","1724005098"
"\mod_quiz\event\attempt_updated","1001","1724005258"
"\mod_quiz\event\attempt_autosaved","1001","1724005480"
"\mod_quiz\event\attempt_updated","1001","1724005505"
"\mod_quiz\event\attempt_viewed","1001","1724005508"
"\mod_quiz\event\attempt_updated","1001","1724005510"
"\core\event\course_viewed","1001","1724138262"
"\core\event\course_viewed","1001","1724138288"
"\core\event\course_viewed","1001","1724138292"
"\mod_workshop\event\course_module_viewed","1001","1724138682"
"\core\event\course_viewed","1001","1724443782"
"\core\event\course_viewed","1002","1708800962"
"\core\event\course_viewed","1002","1708801316"
"\gradereport_user\event\grade_report_viewed","1002","1708801326"
"\core\event\course_viewed","1002","1708801461"
"\gradereport_user\event\grade_report_viewed","1002","1708801480"
"\core\event\course_viewed","1002","1708906341"
"\mod_resource\event\course_module_viewed","1002","1708906343"
"\core\event\course_viewed","1002","1708906434"
"\mod_workshop\event\course_module_viewed","1002","1708906443"
"\mod_workshop\event\submission_viewed","1002","1708906453"
"\mod_workshop\event\course_module_viewed","1002","1708906462"
"\mod_workshop\event\course_module_viewed","1002","1708906474"
"\core\event\course_viewed","1002","1708907057"
"\core\event\course_viewed","1002","1708907066"
"\mod_resource\event\course_module_viewed","1002","1708907068"
"\core\event\course_viewed","1002","1709410073"
"\core\event\course_viewed","1002","1709410082"
"\mod_resource\event\course_module_viewed","1002","1709410089"
"\mod_resource\event\course_module_viewed","1002","1709410098"
"\core\event\course_viewed","1002","1709422183"
"\core\event\course_viewed","1002","1709422192"
"\core\event\course_viewed","1002","1709422204"
"\mod_workshop\event\submission_viewed","1002","1709422208"
"\mod_workshop\event\submission_updated","1002","1709422211"
"\mod_workshop\event\assessable_uploaded","1002","1709422222"
"\core\event\course_viewed","1002","1709422330"
"\gradereport_user\event\grade_report_viewed","1002","1709422337"
"\core\event\course_viewed","1002","1709422353"
"\mod_workshop\event\course_module_viewed","1002","1709422355"
"\mod_workshop\event\course_module_viewed","1002","1709422465"
"\core\event\course_viewed","1002","1709422477"
"\core\event\course_viewed","1002","1709431369"
"\mod_resource\event\course_module_viewed","1002","1709576417"
"\core\event\course_viewed","1002","1709576422"
"\core\event\course_viewed","1002","1709576431"
"\core\event\course_viewed","1002","1709576438"
"\mod_workshop\event\course_module_viewed","1002","1709576459"
"\mod_workshop\event\submission_viewed","1002","1709578315"
"\core\event\course_viewed","1002","1709732617"
"\core\event\course_viewed","1002","1709732638"
"\core\event\course_viewed","1002","1709732664"
"\core\event\course_viewed","1002","1709732668"
"\core\event\course_viewed","1002","1709732678"
"\core\event\course_viewed","1002","1709732680"
"\mod_resource\event\course_module_viewed","1002","1709732703"
"\core\event\course_viewed","1002","1709732717"
"\core\event\course_viewed","1002","1709732724"
"\mod_resource\event\course_module_viewed","1002","1709732727"
"\mod_resource\event\course_module_viewed","1002","1709821133"
"\core\event\course_viewed","1002","1709822777"
"\mod_resource\event\course_module_viewed","1002","1709822782"
"\core\event\course_viewed","1002","1709828421"
"\core\event\course_viewed","1002","1709828423"
"\mod_forum\event\discussion_viewed","1002","1709828430"
"\gradereport_user\event\grade_report_viewed","1002","1709828484"
"\core\event\course_viewed","1002","1709828574"
"\core\event\course_viewed","1002","1709828581"
"\mod_url\event\course_module_viewed","1002","1709828591"
"\core\event\course_viewed","1002","1709831238"
"\mod_resource\event\course_module_viewed","1002","1709831256"
"\core\event\course_viewed","1002","1709831324"
"\mod_resource\event\course_module_viewed","1002","1709831331"
"\core\event\course_viewed","1002","1709832026"
"\core\event\course_viewed","1002","1709832975"
"\gradereport_user\event\grade_report_viewed","1002","1709832982"
"\core\event\course_viewed","1002","1709833136"
"\core\event\course_viewed","1002","1709833141"
"\core\event\course_viewed","1002","1709833150"
"\core\event\course_viewed","1002","1709833157"
"\mod_resource\event\course_module_viewed","1002","1709833159"
"\core\event\course_viewed","1002","1710327547"
"\mod_workshop\event\course_module_viewed","1002","1710327554"
"\mod_workshop\event\submission_assessed","1002","1710327556"
"\core\event\course_viewed","1002","1710390352"
"\core\event\course_viewed","1002","1710390378"
"\mod_workshop\event\course_module_viewed","1002","1710390397"
"\mod_workshop\event\course_module_viewed","1002","1710390677"
"\mod_workshop\event\submission_assessed","1002","1710390891"
"\mod_workshop\event\course_module_viewed","1002","1710390898"
"\core\event\course_viewed","1002","1710441295"
"\core\event\course_viewed","1002","1710441302"
"\mod_workshop\event\course_module_viewed","1002","1710441314"
"\mod_workshop\event\assessable_uploaded","1002","1710445689"
"\mod_workshop\event\submission_viewed","1002","1710445700"
"\mod_workshop\event\submission_viewed","1002","1710445712"
"\mod_workshop\event\submission_viewed","1002","1710445714"
"\core\event\course_viewed","1002","1710445773"
"\core\event\course_viewed","1002","1710445791"
"\mod_mail\event\course_module_viewed","1002","1710445796"
"\core\event\course_viewed","1002","1710445966"
"\core\event\course_viewed","1002","1711480738"
"\mod_resource\event\course_module_viewed","1002","1711480873"
"\core\event\course_viewed","1002","1711683818"
"\core\event\course_viewed","1002","1711683825"
"\core\event\course_viewed","1002","1711683835"
"\core\event\course_viewed","1002","1711683839"
"\mod_workshop\event\course_module_viewed","1002","1711683846"
"\core\event\course_viewed","1002","1711683872"
"\core\event\course_viewed","1002","1711861939"
"\core\event\course_viewed","1002","1711866158"
"\core\event\course_viewed","1002","1711866172"
"\core\event\course_viewed","1002","1711866174"
"\core\event\course_viewed","1002","1711866181"
"\core\event\course_viewed","1002","1711866214"
"\mod_workshop\event\course_module_viewed","1002","1711866221"
"\core\event\course_viewed","1002","1711866223"
"\core\event\course_viewed","1002","1711866232"
"\core\event\course_viewed","1002","1711866239"
"\core\event\course_viewed","1002","1711866246"
"\core\event\course_viewed","1002","1711866251"
"\core\event\course_viewed","1002","1711866326"
"\mod_resource\event\course_module_viewed","1002","1712092547"
"\mod_resource\event\course_module_viewed","1002","1712092579"
"\core\event\course_viewed","1002","1712099494"
"\mod_workshop\event\course_module_viewed","1002","1712099510"
"\mod_workshop\event\submission_viewed","1002","1712099522"
"\mod_workshop\event\submission_viewed","1002","1712099524"
"\mod_workshop\event\submission_viewed","1002","1712099545"
"\core\event\course_viewed","1002","1712099564"
"\core\event\course_viewed","1002","1712099566"
"\mod_resource\event\course_module_viewed","1002","1712099573"
"\core\event\course_viewed","1002","1712106431"
"\core\event\course_viewed","1002","1712106770"
"\core\event\course_viewed","1002","1712106774"
"\core\event\course_viewed","1002","1712106791"
"\core\event\course_viewed","1002","1712106800"
"\core\event\course_viewed","1002","1712347032"
"\core\event\course_viewed","1002","1712347034"
"\mod_resource\event\course_module_viewed","1002","1712347041"
"\core\event\course_viewed","1002","1712354960"
"\mod_url\event\course_module_viewed","1002","1712354965"
"\core\event\course_viewed","1002","1712355828"
"\core\event\course_viewed","1002","1712355840"
"\mod_resource\event\course_module_viewed","1002","1712355860"
"\core\event\course_viewed","1002","1712357008"
"\mod_resource\event\course_module_viewed","1002","1712357201"
"\core\event\course_viewed","1002","1712361007"
"\core\event\course_viewed","1002","1712464807"
"\core\event\course_viewed","1002","1712464816"
"\mod_forum\event\course_module_viewed","1002","1712464823"
"\core\event\course_viewed","1002","1712464828"
"\mod_resource\event\course_module_viewed","1002","1712464835"
"\mod_resource\event\course_module_viewed","1002","1712464837"
"\core\event\course_viewed","1002","1712464844"
"\core\event\course_viewed","1002","1712464849"
"\core\event\course_viewed","1002","1712464851"
"\core\event\course_viewed","1002","1712464861"
"\core\event\course_viewed","1002","1712567189"
"\mod_resource\event\course_module_viewed","1002","1712567248"
"\core\event\course_viewed","1002","1712567252"
"\mod_quiz\event\course_module_viewed","1002","1712567257"
"\mod_quiz\event\attempt_started","1002","1712567299"
"\core\event\course_viewed","1002","1712567303"
"\mod_workshop\event\course_module_viewed","1002","1712570445"
"\mod_workshop\event\submission_viewed","1002","1712570592"
"\core\event\course_viewed","1002","1712587723"
"\mod_quiz\event\course_module_viewed","1002","1712587734"
"\mod_quiz\event\attempt_viewed","1002","1712587744"
"\core\event\course_viewed","1002","1712791442"
"\mod_workshop\event\submission_assessed","1002","1712791859"
"\mod_workshop\event\submission_assessed","1002","1712791864"
"\mod_workshop\event\submission_assessed","1002","1712792529"
"\mod_workshop\event\course_module_viewed","1002","1712792533"
"\core\event\course_viewed","1002","1712792543"
"\core\event\course_viewed","1002","1712792545"
"\mod_workshop\event\course_module_viewed","1002","1712792550"
"\mod_workshop\event\course_module_viewed","1002","1712792561"
"\core\event\course_viewed","1002","1712792610"
"\gradereport_user\event\grade_report_viewed","1002","1712792615"
"\core\event\course_viewed","1002","1712792641"
"\core\event\course_viewed","1002","1712952574"
"\mod_choicegroup\event\course_module_viewed","1002","1712952581"
"\mod_choicegroup\event\course_module_viewed","1002","1712952584"
"\mod_choicegroup\event\course_module_viewed","1002","1712952586"
"\core\event\course_viewed","1002","1712952595"
"\core\event\course_viewed","1002","1712952989"
"\mod_resource\event\course_module_viewed","1002","1712954235"
"\core\event\course_viewed","1002","1712954258"
"\mod_resource\event\course_module_viewed","1002","1712954260"
"\core\event\course_viewed","1002","1712954270"
"\core\event\course_viewed","1002","1712954281"
"\mod_workshop\event\course_module_viewed","1002","1712954444"
"\mod_workshop\event\course_module_viewed","1002","1712954463"
"\mod_workshop\event\submission_reassessed","1002","1712954468"
"\mod_workshop\event\course_module_viewed","1002","1712954472"
"\mod_workshop\event\submission_assessed","1002","1712954475"
"\mod_workshop\event\course_module_viewed","1002","1712954477"
"\core\event\course_viewed","1002","1713424596"
"\core\event\course_viewed","1002","1713424598"
"\mod_resource\event\course_module_viewed","1002","1713424773"
"\core\event\course_viewed","1002","1713426631"
"\core\event\course_viewed","1002","1713426662"
"\core\event\course_viewed","1002","1713426671"
"\mod_workshop\event\course_module_viewed","1002","1713426769"
"\core\event\course_viewed","1002","1713427137"
"\mod_resource\event\course_module_viewed","1002","1713427144"
"\core\event\course_viewed","1002","1713427165"
"\core\event\course_viewed","1002","1713582839"
"\core\event\course_viewed","1002","1713589471"
"\gradereport_user\event\grade_report_viewed","1002","1713591765"
"\core\event\course_viewed","1002","1713591772"
"\core\event\course_viewed","1002","1713591777"
"\core\event\course_viewed","1002","1713775075"
"\core\event\course_viewed","1002","1713775276"
"\core\event\course_viewed","1002","1713778804"
"\core\event\course_viewed","1002","1713778832"
"\core\event\course_viewed","1002","1713778834"
"\core\event\course_viewed","1002","1713779613"
"\core\event\course_viewed","1002","1713779623"
"\core\event\course_viewed","1002","1713779627"
"\mod_quiz\event\course_module_viewed","1002","1713779758"
"\core\event\course_viewed","1002","1713779776"
"\mod_resource\event\course_module_viewed","1002","1713779781"
"\mod_resource\event\course_module_viewed","1002","1713779788"
"\core\event\course_viewed","1002","1713779830"
"\core\event\course_viewed","1002","1714480136"
"\core\event\course_viewed","1002","1714480141"
"\core\event\course_viewed","1002","1714480148"
"\core\event\course_viewed","1002","1714480150"
"\core\event\course_viewed","1002","1714480155"
"\core\event\course_viewed","1002","1714480160"
"\mod_resource\event\course_module_viewed","1002","1714480563"
"\core\event\course_viewed","1002","1714480570"
"\core\event\course_viewed","1002","1714480582"
"\core\event\course_viewed","1002","1714480586"
"\core\event\course_viewed","1002","1714480596"
"\core\event\course_viewed","1002","1714480598"
"\mod_workshop\event\course_module_viewed","1002","1714480600"
